PUBCHEM_CID,canonical_smiles,Class,AID
137643720,CCc1noc(-c2cc3c(s2)C(=O)C=CC3=O)n1,0,1466262
155533270,CN(C)CCCn1cnc2c1ncn1c(NC(C)(C)C)c(-c3ccc(Cl)cc3)nc21,0,1603622
59052018,CC(C(=O)NNC(=O)NCC1CCCCC1)c1cccc(Cc2ccccc2)c1,0,653273
137638064,CCc1noc(-c2ccc3c(=O)c4ccccc4oc3c2)n1,0,1466262
155536795,CCCCCCCCCCc1cn(-c2c(C#N)c3nc4ccccc4n3c3cc(F)ccc23)nn1,1,1519719
155546911,N#Cc1c(-n2cc(CCO)nn2)c2ccc(F)cc2n2c1nc1ccccc12,1,1519719
155554646,N#Cc1c(-n2cc(CCO)nn2)c2ccccc2n2c1nc1ccccc12,1,1519719
155563381,N#Cc1c(-n2cc(CCCCl)nn2)c2ccccc2n2c1nc1ccccc12,1,1519719
155565260,N#Cc1c(-n2cc(CCCCl)nn2)c2ccc(F)cc2n2c1nc1ccccc12,1,1519719
59052016,CC(C(=O)NNC(=O)NC1CCCC1)c1cccc(Cc2ccccc2)c1,0,653273
145965969,COC1OC(=O)C(Br)=C1Nc1ccc(-c2ccccc2)cc1,0,1379036
145967199,COC1OC(=O)C(Br)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0,1379036
145967222,CC(=O)OC1OC(=O)C(Br)=C1Nc1ccc(-c2ccccc2)cc1,0,1379036
145972156,COC1OC(=O)C(Cl)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0,1379036
145974458,CCOC1OC(=O)C(Br)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0,1379036
145974854,CCOC1OC(=O)C(Br)=C1Nc1ccc(-c2ccccc2)cc1,0,1379036
145976318,CC(=O)OC1OC(=O)C(Br)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0,1379036
145976506,COC1OC(=O)C(Cl)=C1Nc1ccc(-c2ccccc2)cc1,0,1379036
145976708,CCOC1OC(=O)C(Cl)=C1Nc1ccc(-c2ccccc2)cc1,0,1379036
145978058,CCOC1OC(=O)C(Cl)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0,1379036
155513093,O=Cc1c(O)ccc2oc(-c3cccc(Cl)c3)nc12,0,1532052
155514171,O=Cc1c(O)ccc2oc(-c3ccccc3Cl)nc12,0,1532052
155523412,Cc1ccccc1-c1nc2c(C=O)c(O)ccc2o1,0,1532052
155531108,COc1ccccc1-c1nc2c(C=O)c(O)ccc2o1,1,1532052
